Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0349,-0.0613,-0.0086,0.009,0.0153,5802,8017
10,-0.0394,-0.0661,-0.0127,0.004,0.0094,5672,8186
11,-0.0568,-0.0843,-0.0293,0.0,0.0154,5374,8551
12,-0.0481,-0.0766,-0.0197,0.001,0.0146,5109,8946
13,-0.049,-0.0781,-0.0198,0.001,0.0207,4750,9532
15,-0.0485,-0.0793,-0.0178,0.002,0.0236,4197,10235
17,-0.0591,-0.0918,-0.0263,0.0,0.0126,3755,10588
24,-0.0852,-0.1233,-0.0472,0.0,0.0195,2893,11672
