Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0247,-0.0575,0.0081,0.14,0.0282,3923.0,10569.0
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
15,-0.0336,-0.0722,0.0051,0.089,0.033,2692.0,12161.0
17,0.0116,-0.0301,0.0533,0.585,0.0309,2473.0,12363.0
24,-0.0204,-0.0637,0.0229,0.355,0.0285,2364.0,12397.0
