age: [9]
z_glc_meta_15,-0.0025(-0.0048 to -0.0003),0.0280,0.0455,2593,12288
z_insul_15,-0.0025(-0.0042 to -0.0008),0.0050,0.0269,2688,12165

age: [17]
DepVar,Coefficient(95% CI),P-value,R2,Num-of-obs,Missing-Values
z_bmi_17,-0.0036(-0.0056 to -0.0016),0.0000,0.0126,3755,10588
z_wc_17,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
z_bp_sys_17,-0.0015(-0.0033 to 0.0004),0.1210,0.2304,3522,10974
z_bp_dia_17,-0.0044(-0.0065 to -0.0023),0.0000,0.0270,3522,10974
z_chol_17,0.0012(-0.0012 to 0.0037),0.3180,0.0845,2473,12363
z_hdl_17,0.0011(-0.0014 to 0.0035),0.3980,0.0872,2473,12363
z_ldl_17,0.0007(-0.0018 to 0.0032),0.5850,0.0309,2473,12363
z_trig_17,0.0009(-0.0016 to 0.0034),0.4720,0.0037,2473,12363
z_glc_meta_17,0.0024(-0.0002 to 0.0051),0.0760,0.0405,2389,12475
z_insul_17,-0.0022(-0.0048 to 0.0005),0.1060,0.0074,2434,12417

age: [24]
DepVar,Coefficient(95% CI),P-value,R2,Num-of-obs,Missing-Values
z_bmi_24,-0.0052(-0.0075 to -0.0029),0.0000,0.0195,2893,11672
z_wc_24,-0.0054(-0.0076 to -0.0031),0.0000,0.1140,2888,11681
z_bp_sys_24,-0.0023(-0.0044 to -0.0002),0.0300,0.2406,2906,11652
z_bp_dia_24,-0.0027(-0.0051 to -0.0004),0.0240,0.0186,2906,11652
z_chol_24,0.0003(-0.0022 to 0.0029),0.8030,0.0604,2366,12395
z_hdl_24,0.0033(0.0008 to 0.0058),0.0100,0.1406,2366,12395
z_ldl_24,-0.0012(-0.0039 to 0.0014),0.3550,0.0285,2364,12397
z_trig_24,-0.0000(-0.0027 to 0.0027),0.9920,0.0294,2365,12396
z_glc_meta_24,-0.0001(-0.0024 to 0.0023),0.9620,0.0625,2365,12393
z_insul_24,-0.0043(-0.0069 to -0.0016),0.0020,0.0149,2366,12395

