Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0001,-0.0021,0.0019,0.921,0.003,3924.0,10568.0
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
15,0.0022,-0.0001,0.0046,0.064,0.0027,2692.0,12161.0
17,0.0009,-0.0016,0.0034,0.472,0.0037,2473.0,12363.0
24,-0.0,-0.0027,0.0027,0.992,0.0294,2365.0,12396.0
