Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0295,-0.0625,0.0035,0.08,0.0127,3924.0,10568.0
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
15,-0.0278,-0.066,0.0103,0.152,0.0756,2692.0,12161.0
17,0.0205,-0.0198,0.0609,0.318,0.0845,2473.0,12363.0
24,0.0054,-0.0371,0.0479,0.803,0.0604,2366.0,12395.0
