Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0304,-0.0578,-0.003,0.03,0.0024,5786,8047
10,-0.0669,-0.0947,-0.0391,0.0,0.0127,5466,8461
11,-0.0387,-0.0671,-0.0103,0.008,0.0037,5315,8612
12,-0.0013,-0.0301,0.0276,0.93,-0.0006,5143,8897
13,-0.033,-0.0649,-0.0012,0.042,0.013,4157,10275
15,-0.0364,-0.069,-0.0039,0.028,0.005,4121,10333
17,-0.0723,-0.1067,-0.0379,0.0,0.027,3522,10974
24,-0.0454,-0.0846,-0.0061,0.024,0.0186,2906,11652
