Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,0.0007,-0.0012,0.0027,0.442,-0.001,3905.0,10600.0
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
15,-0.0025,-0.0042,-0.0008,0.005,0.0269,2688.0,12165.0
17,-0.0022,-0.0048,0.0005,0.106,0.0074,2434.0,12417.0
24,-0.0043,-0.0069,-0.0016,0.002,0.0149,2366.0,12395.0
