Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0009,-0.0029,0.0011,0.395,0.0145,3924.0,10568.0
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
15,-0.0012,-0.0036,0.0012,0.329,0.065,2692.0,12161.0
17,0.0011,-0.0014,0.0035,0.398,0.0872,2473.0,12363.0
24,0.0033,0.0008,0.0058,0.01,0.1406,2366.0,12395.0
