Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0011,-0.0027,0.0005,0.175,0.0172,5854.0,7959.0
10,-0.0016,-0.0032,0.0,0.055,0.0098,5698.0,8141.0
11,-0.003,-0.0047,-0.0013,0.0,0.0106,5378.0,8548.0
12,-0.0029,-0.0046,-0.0012,0.001,0.0093,5119.0,8930.0
13,-0.0027,-0.0045,-0.0009,0.003,0.0116,4746.0,9537.0
15,-0.0025,-0.0046,-0.0004,0.02,0.0069,3467.0,11187.0
17,,,,,,,
24,-0.0054,-0.0076,-0.0031,0.0,0.114,2888.0,11681.0
