Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0227,-0.0574,0.012,0.2,0.0075,3779.0,10156.0
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
15,-0.042,-0.0794,-0.0046,0.028,0.0455,2593.0,12288.0
17,0.0401,-0.0041,0.0843,0.076,0.0405,2389.0,12475.0
24,-0.0009,-0.0395,0.0376,0.962,0.0625,2365.0,12393.0
